date,title,blog
2016/11/30 16:20,(_¨̮_),"
   こんにちは      風邪引いてないですか?みなさん。 寒いので気をつけてくださいね。    まず、1つお伝えすることがあります。    欅坂46は第67回NHK紅白歌合戦に出場させて頂きます。   本当にありがとうございます。  私たちが出られたのは先輩の乃木坂46さんのおかげだったり、関係者の方々、そしてスタッフさんのおかげです。   ありがとうございます。感謝しています。   いろいろきっと思う方いらっしゃると思います。 むしろ、早すぎると思ってる方の方がたくさんいらっしゃると思います。   ですが、今の欅坂を見てもらうために私達は一生懸命がんばります。      …………………………………   今日はなんだか長くなりそうです(笑)   ぜひ、最後まで読んでいただけると嬉しいです     まず、今日は二人セゾンの発売日!!＼(^o^)/   二人セゾンは本当に私大好きです。 歌詞もすごく深くて...メロディーも大好きなんです。   振り付けも!!  みんなのかわいい表情に注目して見ていただきたい!!   ミュージックビデオはみてくれましたか?   青春感溢れる、うるっときてしまうミュージックビデオとなってると思います。   是非、みてみてください   オフショット～  青春っぽいことみんなでしました!   こちら!↓     わぁぁぁぁ～ きゃゃゃゃ～ いぇーーーい            ハァー 走ったぁ～ 疲れたぁ～    みんな前髪なおしてる(ﾟ∀ﾟ　)(￣∀￣)   モン太(鈴本) 疲れてる(笑)     最後に記念写真        21人全員いるかな?!     はーい!おわり    そして、カップリング曲 大人は信じてくれない   のオフショットも載せマース!        わたしとSL   緊張したぁ。。        モン太(鈴本)   カッコイイミュージックビデオになってます! この曲も大好きなんです。   是非、みてみてください!     ※中高生の方々に聞いて欲しいです!!   歌詞の中に刺さる部分がきっとあると思います。    そしてもう1曲あるんです!!   それは   「制服と太陽」です!  この曲もわたし泣きました。   共感する部分があって...  是非、聞いてください!!       シングルに収録されている個人pvというのがありまして...  私は今回ドラマを以前監督してくださった豊島監督にとっていただきました!   この日の撮影すごい楽しくて...テーマもガラッと変わってわたしがSっぽい感じ...  楽しかったぁ。        豊島さん(笑) 帽子かわいい   助監督でこちらもドラマの監督をしてくださった吉田監督でした。   是非、みてみてください!  みんなのもみてね!!   …………………………………    現在発売中のB.L.T.さんの表紙をフロントで務めさせていただいてます。      初サンタ   おねがいします!   …………………………………    そしてHUSTLEPRESSさんにも今出させていただいてます   ちょうど今泉と一緒だったんです         だれか撮ってるのかな?  だれー?        ハッスルくん          チョコん(笑)かわいい     じゃあそろそろ...  ばいばい!    またね!         (^-^) 
"
2016/11/11 22:32,あら,"



こんにちは




最近すごい寒いですね。。、

風邪引かないようにみなさんきをつけてください!!


もう毛布きなきゃ。。。



そんなことより...







はぶちゃん


今度またご飯いこーって約束したんです!

楽しみだなぁ。




あと、




(￣▽￣)ﾆﾔﾘｯ









わたし、


すんごい今尾関ブームです。

もうペットにしたくて...(´･･`)


みんなと喋ってる尾関みると嫉妬しちゃう...|ω･`)


それくらい...


またなにか心の変化があったら報告します。




…………………………………




お知らせ(^o^)/




現在発売中のBUBKAさんの表紙を今泉と飾らせていただきました。


お近くのコンビニで...<(_ _)>




オフショット










…………………………………



あとこちらも現在発売中のBOMBさんにわたしも小池美波と守屋茜の3人が載ってます!!



衣装が全身白のワンピースだったり制服だったりすごくかわいくてテンション上がってました!

オフショット




















なぜかこの白シャツ気に入ってた...( .. )




是非、こちらもよろしくおねがいします!


…………………………………



あとU-18にわたしと長濱ねるが表紙をやらせていただいてます。












どこを見てるんだろう...



よろしくおねがいします!



…………………………………




今日は
こち星ですよ!!

なんと新曲...


二人セゾン銀河系初解禁!!



これは聞かなきゃ!!!



今日のパートナーは私がやりたい!やりたい!と言って女性ディレクターさんにお願いしちゃいました!!


みなさん!是非聞いてくださいね<(_ _)>


お楽しみにセゾーン( ¨̮ )















バイバイ!

  "
2016/10/28 14:21,今日は,"



こんばんは



今日は深夜24時20分からこち星です。




ゲストは絵がうまいあの方です。





































今日の放送で


新曲のタイトルを……………………………………………







聴いてね!



またね!




がなちゃん頑張ってね!

  "
2016/10/25 15:41,はろうぃん,"
こんばんは最近寒くなってきましたね(^-^)みなさん、風邪には気をつけてください。さむーい葵が撮りたい撮りたい!とうるさかったので...しかたなく...わたしは1度体調があまり良くなくて握手会を少しだけ休ませてもらいました。その時は本当に申し訳ありませんでした。その後途中参加で守屋茜と志田まなかのレーンにわたしが入りたいと言いやらせていただきました。↑裏で気合い入れしてたこの2人だったからがんばれたありがとう。……………………………………………おそくなってしまったのですが...明石家さんまの転職DE天職という番組にわたしと長濱ねるが出させていたたきました。ありがとうございました。その時の写真すごく緊張しました...……………………………………………11月1日発売のSPA!に守屋茜と鈴本みゆ(もんもん)とわたしで表紙をやらせていただきました。その時のオフショット!壁ドン?!(笑)これお気に入りでわたしのロック画面...(照)ちなみに、3sgの曲調がどんなのか少しだけインタビューしたのでよかったら!(^^♪よろしくお願いします!……………………………………………今、発売されているswitchさんに出させて頂いてます。アラーキーさんに撮っていただきました。今までとはまたちがった雰囲気になってます。ぜひ、よろしくお願いします、オフショット……………………………………………あと、今絶賛発売中のBRODY12月号の表紙を欅坂46全員で務めさせていただきました。また、結成1周年ということでロングインタビューにも注目してください!実際わたし、読んで......うるっときました。ぜひ、よろしくお願いします!……………………………………………今、ZIP!さんの@ZIPに出させて頂いてます。すごくロケ楽しかったです!!是非、みてみてください!よろしくお願いします!……………………………………………長々とすみません。。あともう少し...一昨日行われたイベント...パーフェクトハロウィン来てくださった方々ありがとうございました!すっごく楽しかった!RADIO FISHさん、超特急さんありがとうございました。超特急さんは振りがわからなかったり、立ち位置がわからなかったら優しく教えてくださりました。あと、超特急さんのサイレントマジョリティーダンスのキレが凄くて...見習わなきゃと思いました。嬉しかったです!!RADIO FISHさんは振りを1から教えてくださって、すごく場を盛り上げてくださって楽しかったです。もう最高すぎました!!ありがとうございました。その時の模様をM-ON!さんで初オンエアされます!よかったら是非!みてみてください!……………………………………………選抜発表今回もセンターをやらせていただくことになります。いろいろ思う方いらっしゃるとおもいます。発表の時、上手く話せなくてすみません。とにかく21人選抜うれしかったです。今回も力合わせて頑張りますので応援よろしくお願いします。もんもん(鈴本)いつもありがとうシャム猫よねさんかわいい!よねもありがとう。ねるひらがながんばってね!おもてなし会!長くなってすみません。じゃあまたね!今回の新曲もいい曲ばかりです(^^)お楽しみに!
"
2016/10/09 20:38,( .. ),"
   こんばんは    今日はGirl's Awardに出させて頂きました。   足を運んでくださった方々ありがとうございました。      欅坂から4人ランウェイを歩かせて頂きました。  すんごい緊張しました。    Ank Rougeさんの服を着させていただきました。          普段の私の私服ではあまり着ないような可愛らしい感じでまた新しい1面をおみせできたらなと思いました。   くまさんのぬいぐるみすごくかわいかった。   舞台裏でずっと抱き抱えてた。。。 緊張ほぐしてもらった(笑)      あと、ライブパフォーマンスでも出させて頂きました。   3曲披露しました。  その中でもサイレントマジョリティーのイントロがかかった時のお客さんの歓声がすごくて... 女性の方の声がすごく聞こえて...   すーごくうれしかった!  鳥肌立ってました。。  本当に改めてありがたさを感じました。   ありがとうございました!    楽しかったです!!      そして!!       わたくし    髪の毛をきりました!!    before       after       内巻き        外ハネ   あかねんと!!     ストレートはいつかのおたのしみ        あと...       わたし、人見知りだからひらがなけやきのメンバーとなかなかしゃべれなくて...     今日のGirl's Award見に来てくれてて     ゆいぽんお迎えの時に隣にいた子とはじめてぐいでお話しました          かわいい    佐々木美玲ちゃん(^^♪    髪色染めて、髪切ってもっともっとかわいくなった!!    写真撮ってるとき、嬉しすぎてどうしよう...って言っててこんな私に?!って思った。(笑)    可愛かったなぁ。      はい。報告でしたー       じゃあまたね!!    ばいばい

  "
2016/09/24 13:49,(｡-_-｡),"
   こんにちは〜     まず、昨日のこち星⭐︎  きいてくれましたか??      パートナーは上村でしたー!!       さてさてー     この間のけやかけみてくださいましたかー?     那須どうぶつ王国に行きました。    その時のオフショット                ↑今泉と!満面の笑み笑          すずもと これかわいい!!        どうした。私の前髪(･_･;         すずもととおぜき  尾関ブームちょっと冷めたなぁ。。   とうもころしおいしかった。 ↑笑        今泉とすずもと    サイマジョ思い出すなぁ。。   (^O^)      はーい   そして、ケヤビンゴもみてくださいましたかー?    わたしは桃太郎をやりました笑     たのしかったです。   そんなわたしが唯一2ショット撮ったメンバーは            わたなべりさー    すねてる(^^;;    かわいい!     次週最終回   みなさん、みてね!    いとうあさこ46が誕生!!!   一緒にサイレントマジョリティーやる?やらない?   お見逃しなく〜            あと、9月18日発売のOVERTUREに先輩の乃木坂46の生駒さんと一緒に表紙をやらせていただきました。               チェックしてみてください。    欅坂からも何人かでてます。  よろしくお願いします            9月24日発売のsmartさんに出させていただきました。   服が全部かわいくってテンションあがってました!                 よかったらこちらもよろしくお願いします          この間えーと。。 何日だろ。 22日に握手会がありました        チラ          あかねんと!   みなさんも握手会ぜひ遊びに来てください。              志田ピッピ    ピッピに最近ポテチって呼ばれます♡      そう!実はsmartさんのインタビューにも書いてあるのですが志田ピッピとあかねんで前にディズニーに行ったんです!!      たのしかったなぁ。、  また行きたい!         髪の毛伸ばそうかなぁ。         では、今日@JAMに来られる方楽しみましょー          ばいばい    
"
2016/09/15 11:14,(._.),"


髪の毛やっぱ伸ばそうかなぁ。。。


どうしよう。。。




(._.)

  "
2016/09/14 02:05,いえい,"
  こんばんは(._.)     この間の欅って書けない?みてくださいましたかー?    すずもとホントに面白かったー     そうそう!!  ちょうどあの日他のお仕事で和栗やさんにお邪魔してたのでみんなにお土産買いたい!って言って買って行ったんです!!   そこのお店のマスコット       くりひこくん!    おいしかったなぁ。        はい!!    そして、私たちのドラマももう少しで終わってしまう(;_;)     この間は9話!   わたしが疑われてしまった。。。          前にラジオで話したんですけど…    この松葉杖は豊島監督のです笑    そして豊島監督のおもしろショット〜         9話は豊島さんが撮ってくださったのですが   9話を撮りはじめる日に肉離れに(-｡-;   ずっと笑ってた笑     そしてそして、その豊島さんの娘さん          かわいすぎる❣️  妹にしたい!!   豊島さんそっくり(^^)    みなさん!  最終回お見逃しなく〜!!           キャップ姿好評だったので。。照      あ。あと   お待たせしました!!!   尾関PARCO               本物はこちら         笑   尾関も赤スーツ着てる姿みてみたい笑    尾関のこのポーズから動くと本当にかわいいんです!   いま尾関ブームなうです!笑                  かわいい!!  今日尾関とたくさん話してて…    フェロモンって言いたかったのにホルモンって言って〜    久しぶりってぐらいに大声出して笑ったなぁ笑    またこち星きてね!              葵と歯磨き         1人で歯磨き            (￣ー￣)    てちこ     コアラ           てちこあら(^^)        そろそろバイバイ!!!!        髪の毛切ろうかなぁ。。。。

  "
2016/09/02 19:38,今日は写真祭りー,"



こんばんはー




あ、まってね


その前にご報告



今月号のananさんにフロント5人が出させて頂きました!!





是非、見てみてください!



はい!!



さてさてー



いきますか!タイトルの通りお写真♥祭り



いっきまーす!!




まずはこの間行われた全国握手会のとき写真!


ドーン







私たちのグッツ販売～٩(ˊᗜˋ*)و


あかねんともん(すずもと)


わたしのタオルを持ってくれてる♡



皆さん是非こちらもチェックしてください!



そそ!


その全国握手会という私達のイベントで私のソロ曲渋谷からPARCOが消えた日を歌わせていただいたんですけどパフォーマンスおわってステージ降りたらメンバーに聞こえた?って言われて。。。

なにが?ってきいたらメンバーはサビの[PARCOPARCOPARCO]
っていうところもうフェスみたに叫んでくれてたみたいで...。


嬉しかった!
いつかその映像みたいなぁ(^^♪

はい次ー








 これはつぎの日行われた個別握手の時!


よねさん

同じ髪型だったか
撮ろ～って言って撮ったよ!


何事にも全力なよねさん♡



と。もう一人
自分のブログでラブラブログをはじめた人(笑)







もりやあかねー

ねんって最近読んでます(笑)

たまにてっちゃーん!って言って抱きついたり急に後ろから抱きつかれるとキュンってくるぞ♡


また、写真たくさん撮ろうね!










ダテメかけてみた


意外と好評だった(^-^)




はい次ー












つい最近個別握手会の時


ゆっかー

あごくい


この時わたし男の子になりきってたのでみんなをキュンキュンさせることに夢中。。


あかねん、ごめんね。
みんなにアゴクイやっちゃった。(´･･`)(笑)












もん

浴衣かわいかったなぁ。









最近小物集めにハマってます。




そしてー




みなさーん、ドラマ


もうちょっとでおわっちゃーう。。







みなさんみてね!


ねるこ(^ν^)





あ、


この間ねると渋谷TSUTAYAさん行ったらなんと今泉がいて。。


わたしのパネルと写真撮ってて、なにしてんのー?っていいつつ写真を3人でとりました!(笑)







＼(^^)/



そろそろおわりにしよーかなぁ











あ!あと


今日の夜はこち星です!

24時20分～



みなさん、聞いてねー


今日のゲストは
おぜき!





内容はお楽しみ♥♥



そして明日は幕張メッセにて全国握手会!


来られる方はたのしみましょー!



バイバイ

  "
2016/08/23 01:10,1周年,"
  こんばんは    たくさんご報告があります!  まず...    20日発売のnon-noさんに欅坂のフロント5人が出させて頂きました。   メイクとかもすごくまたいつもと変わってすごくたのしかったです!    オフショット              今泉♡    よかったらお近くのコンビニでみてみてください!     そして18日発売のミラクルジャンプの表紙をやらせていただきました。   すごく撮影楽しくって何も考えず素の平手が出てると思います。  その日のメイクさんや衣装さんやスタッフさんやカメラマンさんが何回かお会いしたことがある方だったので楽しすぎました! メイク中も話したり。。たのしかったぁ。   そんな素がでまくりなオフショットを。                    久しぶりに飲んだ  ラムネ  おいしかった!    ぜひこちらもよろしくお願いします     そしてそして!もう一つ!     22日曜日発売のヤングマガジンの表紙を長濱ねると2人でやらせていただきました。   この撮影も楽しかったなぁ。 ねるとだったので気つかわずだったしロケでいろんなもの食べさせてもらいました!    その時のオフショット          ねるこかわいい   そんなかわいいねるもたくさん見られますのでよかったらこちらもよろしくお願いします     ご報告以上!!     昨日はサマーステーション!!  なんとけやき坂でLIVEでできるとは。。  ありがたい。   すごく楽しかったです!!          志田ピッピと♡  汗ビショビショ～(￣▽￣;)  ほんとに優しいピッピ    来年もできたらいいなぁ。      そう!  もう今日21日で私達欅坂46結成から1周年なんです!   ほんとにものすごいスピードでいろんなことを経験させていただいたなぁ。   応援してくださってる方、音楽番組や取材方々、スタッフさん、お力をかしてくださったみなさん、本当にありがとうございます。   人によって捉え方はたくさんあると思いますが私達はひとつひとつ与えられたチャンスを大切にし、少しずつ坂を登っていけるよう精一杯頑張りますので今後もよろしくお願いします。     またね!

  "
