date,title,blog
2018/08/27 03:59,浴衣,"
こんにちは(^^)  山口県出身 高校2年生 17歳河田陽菜です!🐼猫の浴衣を着ましたのさ。浴衣はいいものですね☺︎丹生ちゃんが帯を締めてくれたのです!ありがとう!今日は京都でデビューアルバム「走り出す瞬間」最後の個別握手会でした。足を運んでくださった皆様、ありがとうございました!色んな言葉を皆様にかけて頂いて、本当に私は幸せ者だなと思いました。嬉しかったです!本当にありがとうございました!色んなお話ができて楽しかったです!お花は後日載せます☺︎名古屋のもまだなので一緒に載せますね(･_･;遅くなりすいません!今日は高瀬さん、めいめいさん、金村の生誕祭がありました!金村の生誕祭ではお花を渡させていただきました!皆さん、おめでとうございます!そして影山さん(影パイセン)の活動が今日で休止となりました。応援しています!そしてずっと待っています!⚽️先日はめいめいさんのお誕生日でしたね!おめでとうございます!♡🐰いつも優しくしてくださりありがとうございます!そして今日頂いた可愛いパンダ大切にします(,,, ⁼̴́◡⁼̴̀,,,)ありがとうございました!8月26日   河田陽菜
"
2018/08/25 08:59,紫,"
こんにちは!山口県出身高校2年生17歳河田陽菜です🐟舞台「マギアレコード 魔法少女まどか☆マギカ外伝」無事初日を迎えることが出来ました。メガネが下がっている、、!ご来場頂いた皆さんありがとうございました!今日はまどマギチームがお見送りだったのですが、舞台の姿のまま皆さんにお会いするのが凄く新鮮でした!☺️本番凄く緊張しました、、。本当にたくさんの方々に支えられて初日を迎えることができました!本当に感謝しています。稽古では他のキャストさんからアドバイスを頂いたり、日々刺激を受けておりました。何か質問すると凄く丁寧にアドバイスをしてくださいます。アンサンブルの方はすごくかっこよくて圧巻のパフォーマンス、そして舞台のセットもすごく豪華で、、映像も、何もかも全てが素敵なものになっております。話せば話すほど長くなりそうなのでそれは千秋楽を終えてからブログに書こうと思います!なので是非、皆様に見ていただきたいです。こんな素敵な舞台に携わらせて頂けて本当に幸せです。本当に毎日ありがとうございます!そして千秋楽まで宜しくお願い致します!そしてゲネプロに足を運んでくださった皆様、お忙しい中ありがとうございました!舞台マギアレコードのホームページです!是非チェックしていただけると嬉しいです♪http://www.keyakizaka46.com/s/k46o/page/magireco?ima=0000この舞台「マギアレコード 魔法少女 まどか☆マギカ外伝」は、、、①圧巻のセット🏢②ゲームのような立体感演出!🎮③オリジナル楽曲がなんと16曲!🎧④武器はサイズ感をそのまま再現!🏹などと、2.5次元ミュージカルならではの魅力が満載となっております!😌千秋楽まで精一杯"" 暁美ほむら ""ちゃんを演じきりたいと思いますのでどうぞよろしくお願い致します!🐼当日券もあるので是非!🐼各公演開演の1時間前より当日券窓口にて販売されております!↓https://t-onkyo.co.jp/8月24日  河田陽菜
"
2018/08/21 00:03,呼び名,"
私は今まで友達に「ひな」と呼ばれる事が多かったんです!ひらがなに入ってから2期生や1期さんに「かわださん」「ひなこ」「おひな」など呼ばれるようになりました(^^)!もちろん「ひな」も☺︎謎の「かわださん」呼びの由来を話します。私の苗字は「かわた」と読みます🐟でも私がひよたんに東京の病院とかでは名字をよく「かわだ」って間違えて読まれると話したんです。そしたらひよたんは私のことを「かわださん」と呼ぶようになりました(笑)それから「かわださん」呼びは広まりました!🐾それよりこの写真のイヤホンが絡まりすぎている、、🎧読んでいただき有難うございました!8月20日  河田陽菜
"
2018/08/20 02:09,ゆで卵,"
こんにちは!山口県出身高校2年生17歳河田陽菜です!🦀ひよたん☺︎ひよたんは今日1瞬で親指が好きになるゲームをしてました。謎のあそび、、笑今日はテレビ朝日さんの六本木ヒルズ夏祭りSUMMER STATIONでした☺︎最近は舞台のお稽古だったので少し久しぶりのライブでした!ご来場いただいた皆様有難うございました!私たちのグループ名と同じ「けやき坂」でライブが出来た事、SUMMER STATIONに出させていただけた事すごく嬉しかったです!(^^)DELISH KITCHENさんの編集長さんからありがたいお言葉と、クレヨンしんちゃんとコラボのフードをいただきました!ご馳走様でした!すごく美味しかっです😌有難うございました!2期生の1周年をスタッフさんと1期さんがお祝いしてくださいました!見て!カエルのケーキ!!すごい可愛い!♡有難うございました!🐸たくさん食べて幸せな気持ちになりました(^^)読んでいただき有難うございます!8月19日  河田陽菜
"
2018/08/16 17:02,ラッキーセブン,"
こんにちは!山口県出身高校2年生17歳河田陽菜です!🐟8月15日に7枚目シングル「アンビバレント」発売されました!「ハッピーオーラ 」はtypeBに収録されております(^^)「ハッピーオーラ 」のミュージックビデオの衣装で全然撮ってなくてずっとパーカーで撮ってた!ショック!特典映像の自撮りTVは織田奈那さんとペアでした!🍊織田奈那さんがプロデュースしてくださり、コスプレを沢山しました!私は握手会でもなかなかコスプレをしないのですごく新鮮でした!なのでいい機会でした!🐇着替えるのが難しいものを手伝ってくださったり髪の毛を結んでくださったりすごく優しくしてくださりました!ありがとうございました(,,, ⁼̴́◡⁼̴̀,,,)typeDに収録されておりますので、ぜひ!そしてオーディションshowroom始まりましたね!去年がすごく懐かしいです、、暇があれば見ています!皆さんすごく可愛くて癒されています♪じゃあまたね!バイバイ!8月16日  河田陽菜
"
2018/08/14 01:10,初心,"
こんにちは!山口県出身 高校2年生 17歳河田陽菜です!🐼私がお菓子を置いてるところをみて美味しそう〜と言っていたらなっちょさんがどれが欲しいの?と言って、「今そういう気分なの♪」と2つも買ってくださいました!食べるときはいつもの何倍も美味しく感じました!🦀いつも優しいなっちょさんです!☺️ご馳走様でした!2期生が「けやき坂46」に加入して1年となりました。2017年8月13日から1年間、本当に濃い1年でした。1年前は山口県で普通の学生をしていたことがすごく不思議です。毎日朝同じ時間に起きて、学校に行って、、家に帰ってご飯を食べて、、。私はアイドルがすごく好きで憧れはあったけど一歩の勇気が踏み出せずにテレビの前で憧れを抱いたまま生活を過ごしていました。私は夢もなく将来は安定な仕事につこうと思っていました。勉強も習い事も色んな物事に対していつも中途半端な人だったんです。そんな私が初めて本気でなりたいと思ったのがアイドルでした。そんな簡単には目指せないと思ったから応募を躊躇したんですが応募してみるだけしてみようとしてみたんです。すると1次審査の合格通知、2次審査の合格通知が届き、すごく驚きました。2次審査の通知が来ないから勝手に落ちたと思い込んでいました。平然として過ごしていたけど本当の心のなかではすごくすごく悔しかったです。でも実はどこかに少し安心があって山口から出て新しい世界に飛び出す怖さもありました。3次審査の後にshowroomの審査がありました。私はエントリーナンバー3番でした。ラジオ配信のため顔が見えない私を応援してくださったり、応援してるよというコメントをたくさん頂きました。そして「さんぺー」というあだ名もつけていただきました!合格してみなさんに嬉しい報告をしたいshowroom最終日はそんな想いでいっぱいでした。最初の方は緊張してたけど、日に日に緊張がとけて毎日推薦コメント読んで明日もshowroomが楽しみって思いながら寝て、、。showroomを始めると時間の経過があっという間で、、。たくさん笑って心の底から楽しんでいたのを覚えています。本当に本当にありがとうございましたあの4日間はすごく大切な4日間となりましたそして最終オーディション!showroomで見てたあの子だ、あの子だ〜ってたくさんなりました。オーディションが終わって、合格発表の時はすごいくらいに緊張しました。受かった時は状況が理解できなくていろんな感情があって受かった瞬間のことをあまり覚えていません。嬉しかったのか不安だったのかの感情も覚えていません笑でもなんで自分受かったんだろうってずっと思ってました。でもずっとそう思ってばっかりじゃいつまで経っても前に進めないしやるからには全力で頑張らないとって思いました。これは初めて「欅って書けない?」に出させていただいた時の写真です🤳2期生に出会えてよかったです。いつもありがとう。1期さん皆さん本当に優しくて、色んな事をいつも吸収させていただいています。いつもありがとうございます。そして本当にたくさんのスタッフさん、ファンの方に支えられています。いつもありがとうございます。ステージで踊ったり歌ったり舞台や番組に出させていただいたり。すごくすごく恵まれた環境にあります。それを当たり前だと思わないように、初心を忘れないように。これからもひらがなけやきとして頑張ります!色んな面がまだまだな河田陽菜ですが、ひらがなけやきに貢献できる人になりたいです。普通の高校生活はできないけどあの時オーディション受けてよかったです、後悔してないです。ひらがなけやき大好きですこれからもよろしくお願いします!あとあと愛萌のブログに書いてある私のオーディションエピソード、私すごい変な人ですね笑恥ずかしいです!記憶にないのも怖いです(･_･;笑まとまらなさすぎている文章でごめんなさい🙏最後まで読んでくださりありがとうございました!8月13日    河田陽菜 人の優しさってすごく身に沁みます今日は稽古で沁みましたオーディションの時も沁みました人って温かい☺︎単語の使い方あってるかな、、あってるよね☺︎じゃあまたブログ書きます!あ、そうだ家族のみんないつも山口から支えてくれてありがとう。これからもよろしくね。🐶
"
2018/08/10 23:57,文章,"
こんにちは!🐟山口県出身 高校2年生 17歳河田陽菜です🐡マッサージ中のこのちゃん☺︎このちゃんとお話するのは楽しいです☺︎ちょっかい出すのも楽しいです☺︎このちゃんの京都弁にいつも癒されています☺︎そうそう、丹生ちゃんがね今日疑問を抱いていたんです私が「こしょばい」って言ったら丹生ちゃんは「こしょばい」っていうの?「くすぐったいって意味?」って聞いてきたので「うん」って答えました(^^)その次の日こしょばいが方言かはわかりませんが、、丹生ちゃんが方言の元の意味がわかるのってなんでだろうね?って言っていました例えば「こしょばい」の元は「くすぐったい」↑どっちもいうかな?うーん。笑まあいいか!なんでこの元がわかるんだろうと、、私も共感しました🐩なんでだろう?自然に出てくる言葉だから?うーん、自分でも何言ってるかよくわからなくなったのでこの話は終わりにします(･_･;笑でも日々、舞台の稽古で丹生ちゃんに癒されているというお話でした、、笑よくわからなかったらすいません!文章というものは難しいですね🚴‍♂️ここからはお知らせ祭りです!舞台「マギアレコード　魔法少女まどか☆マギカ外伝」全公演を対象に、“お楽しみ企画”の開催が決定しました!!お楽しみ企画①  お見送りお楽しみ企画②  アフタートークお楽しみ企画③  抽選サイン入りチラシプレゼント詳しくはこちらをチェックしてみてください🎭↓https://t.co/uhvxLKWJECそしてそしてけやき坂46のHPの中に、特設サイトも出来ましたのでぜひチェックしてみてね!(^^)http://www.keyakizaka46.com/s/k46o/page/magireco?ima=0000ツイッターアカウントもあるので、是非🤳@stage_magireco「Hot Stuff Promotion 40th Anniversary MIKASA」先行抽選が始まりました!受付期間:2018年8月10日(金) 11:00〜2018年8月15日(水) 11:00結果発表:2018年8月16日(木) 18:00頃(予定)http://w.pia.jp/z/b/1?lr95211&usmail20180810&umfavorite_lot_m&uc95211_FB170010&af903お待ちしております👁TIFありがとうございました!すごくたくさんのアイドルさん達が出演するイベントですごく憧れていました。なので今回出演させていただけてすごく嬉しいです!2期生は初めてのTIFでした😊お客さんとの距離も近く凄く楽しかったです!ありがとうございました!8月10日  河田陽菜

"
2018/08/10 23:54,憧れ,"
こんにちは!山口県出身高校2年生17歳河田陽菜です(^^)名古屋で個別握手会ありがとうございました!就寝ひよたんと北海道の売店で買ったTシャツ🐾ダンシングジャパン(^^) お気に入りです!いつも握手会ですごく元気をいただいています!ありがとう☺︎色んなお話が聞けたり色んなお話が出来たり(^^)すごく楽しいです!突然ですが、私はすごく明るくても全然寝れる人です!ひよたんは暗い方がいいらしいです!皆さんはどうですか?(^^)前はひよたんと電気合戦が起きました!凄く楽しかったです🐼笑 先日、欅坂46の今泉佑唯さんの卒業が発表されました。漢字さんがデビューした時から今泉佑唯さんはずっと憧れの存在でした。初めて今泉佑唯さんとお会いした時のことを今でも鮮明に覚えています。いつもキラキラな素敵で可愛い笑顔で、心にくる歌声で、パフォーマンスもかっこよくて、、そんな今泉佑唯さんが大好きです。これからもずっと応援させていただきます!8月10日  河田陽菜
"
2018/08/04 02:46,短いよ☺︎,"
こんにちは!山口県出身高校2年生17歳河田陽菜です(^^)このちゃん☺︎「ハッピーオーラ」のミュージックビデオ見てくださいましたか?(^^)衣装も髪飾りもすーごくかわいくて、、!疲れている会社員の方を癒すというミュージックビデオです🧚‍♀️♪みんなみんな幸せになれるって の部分がすごく好きです!すごく短いけどこの辺でばいばい!8月3日   河田陽菜
"
2018/08/02 13:39,リュックサック,"
こんにちは!山口県出身 高校2年生 17歳の河田陽菜です!とうとう8月になりましたね〜あっという間に秋に到達しそうですね🌾秋も楽しみ!7月28日に北海道で行われた「SUNNY TRAIN REVUE」🦀お越しいただいた皆さんありがとうございました!す〜ごくすごく緊張しました、、(･_･;前のブログに載せた後ろ姿のひよたんとの2ショット!あれは大福くん達のハッピです☺︎モッチモッチですごくかわいいんです草大福くんを載せてみたよ(^^)かわいすぎる、、楽しかったです!ありがとうございました!そして舞台「マギアレコード 魔法少女まどか☆マギカ外伝」の稽古が始まっています!スタッフさんもキャストさんも暖かい現場です☺︎そして最速プレオーダー受付中です!http://eplus.jp/sys/T1U14P0010163P0108P002268301P0050001P006001P0030001■7/30(月)12:00〜8/2(木)15:00 最速プレオーダー受付■8/11(土)10:00～9/6(木)18:00一般発売是非(^^)宜しくお願いします!またまたお知らせです!ローソンさんのキャンペーン!本日から始まりました!是非ローソンに足を運んでみてください♪私も行かなきゃー!キャンペーンの詳細はこちらです!ぜひチェックしてみてください(^^)↓http://www.lawson.co.jp/sp/campaign/keyakizaka46/ブログ読んでいただきありがとうございました!8月1日  河田陽菜

"
