date,title,blog
2017/06/16 14:16,わあ,"






こんにちは。













バムくん

この間お誕生日でした〜


わーーい(*´ｪ`)ﾉ 長生きしてね✌︎












今日の23時からSHOWROOM緊急生配信します!!


菅井ちゃんとあかねんです( ^^)人(^^ )


ぜひ見てね〜



















すっかり夏みたいになりましたねー。


梅雨入ったみたいなのに雨があまり降らなくて困りますね。


早くカラッとした夏になってほしいです。



ははは













またねー









みゆ

  "
2017/05/20 22:35,やあ,"





こんにちは〜





ドラマ撮影の空き時間に川に入りましたー











最近ロケ地付近に川がある事が多くて、今年に入ってもう3回入りました



エキセントリックのMusic Video撮影の空き時間にも入りました



やっぱり自然はとてもいいですねー


自然の空気の匂いが好きです














さて、この写真には何人写ってるでしょうか。


























































5月24日発売のananに出させていただきます^ ^


とっても嬉しいワクワク

ぜひチェックしてね〜












ばいばーい



正解は

4人でした。









メチャカリ


みゆ

  "
2017/04/28 14:01,ランラン,"






こんにちはー






夏のコスメがすごーくほしい。



かわいいアイシャドウ見つけた




絶対買うんだから〜














ぽぽぽぽぽーん



















また明日ね



みゆ

  "
2017/04/26 20:51,ぺーちゃんと川,"







こんばんはー











けやかけ面白かったですかだにー?

















だにいないな〜








またねー






みゆ

  "
2017/04/25 02:07,ンンン〜,"







こんばんは〜















































ブレ










質問です。

私と尾関の間にはあるメンバーがいました



誰でしょうか?

















???















ばいばーい



みゆ

  "
2017/04/22 11:15,楽しいよ,"





こんばんは





最近とてもいい香りの服にシュッシュッするやつを見つけました〜


柔軟剤と同じ匂いでおそろいです〜




いっぱい買おーっと















いい感じに花粉が治まってきてグッド。



去年よりは何故だかそんなに酷くはなかったけど、やっぱり目と鼻がかゆくなります


やっと治りつつある


ふー。










またねーん





みゆ

  "
2017/04/19 16:47,残酷な観客達,"
こんばんはーこの前毛布を洗濯したらすっごくほわほわになって、柔軟剤すごいなーって思いましたシュシュシュ〜今日の朝に5月18日から日本テレビで放送される欅坂46主演ドラマ『残酷な観客達』が解禁になりましたーーーー!!なんと主題歌は「エキセントリック」!!!とても嬉しいです(*´ｪ`)ﾉ私達にとって2度目のドラマです。やると知った時正直とても複雑な気持ちでした。前回のドラマで経験した難しさや過酷さ去年はその壁にぶち当たりました本当にいろいろありました。でも前回みんなで乗り越えたからこそ今の私達の結束力があると思ってます。だから今回もたくさんのことがあると思うけど、メンバーで支え合いながら乗り越えます!!今回のドラマでは初めて役名をいただきました!不思議な気持ちです、、私は 須原美空 役をやらせていただきます!メンバーのいつもと違う雰囲気やキャラクターに注目してください☆彡放送までお楽しみに〜〜〜またねみゆ
"
2017/04/17 16:54,ススススス,"






こんばんは〜









ゴロゴロ〜





ゴロゴロゴロゴロ〜











ステラルーがかわいいな〜今度買いにいこーって思っていたら、この前突然!! 虹花が「みゆこれあげる〜」って。



袋開けたらまさかの ステラルー 。


悲鳴をあげました。




ありがとう、にじかさま。。












さっき外に出た時あったかーいって思いました


春ですね〜


桜が咲いてるの見てすごくほっこりしました



ピンクってかわいい


意外とピンク好きなんです



桜って満開だ〜って思っても数日後すぐに葉っぱになってて悲しい


なんでこんなに早く散っちゃうの


不思議








またねー





みゆ

  "
2017/04/15 11:17,やっほう,"






こんにちは〜〜





明日のけやかけお楽しみに〜




















TT〜







またね


みゆ

  "
2017/04/14 01:32,ケース,"
     こんばんは〜     スマホケースっていくつでも欲しくなりませんか?    今は気分で2つを使いまわしてるのですがお店とかでいいのがあると買ってしまいます(´-`).。oO   新しいの買ったら前のを捨てて、、みたいな感じ   だから常に家にあるのは2つほど  コロコロ買い変えてますー    今はキラキラしてるのを探し中〜                   明日はMUSIC STATIONです!   4thシングル「不協和音」を披露させていただきます!!    お見逃しなく!          みゆ

  "
2017/04/11 18:56,わ〜〜,"







こんにちは。




最近夜になってもそんなに寒くなくて、春だな〜って感じてます


鼻も目もかゆいな～













4月8日に発売されたBOMBに小池みーちゃんと長沢なーこと3人で出させていただいてます♫




デビュー1周年ということで 1(ONE)➡︎ワン➡︎犬、、3人で犬になって撮影しました〜〜










どことなく漂う猫感、、、(笑)


犬ですよ!いぬ!



衣装もダルメシアン柄でした〜
















髪の毛はこんな感じ〜




初めてこの3人の組み合わせでした!


すごくほんわかした撮影現場でした(´-`).｡o♡



インタビューもぜひ見てね☆彡
































そしてまたまた映画を見に行って来ました〜


今回は「モアナと伝説の海」!



とってもいいお話しで感動しました

オススメです♫


すごーーく心に残っています( ^^)人(^^ )








次は美女と野獣を見に行きたい!!!


あー早くーーー楽しみーーー














おほほほほ




みゆ

  "
2017/04/09 09:56,(´-`).｡oO,"
こんにちは〜昨日は握手会にお越しくださりありがとうございました☆彡ブログ頑張ってるね〜とかブログありがとう〜って言ってくださった方もいてすごく心が暖まりましたサボらないように頑張ります〜2.3部はこんな感じー4.5部はチャイナ風にしましたー眉毛赤くしてたの気付きましたかー?祝花もありがとうございます^ ^昨日の握手会ではAnniversaryLIVEのことを褒めてくださる方々が多くてホッとしました。不協和音とエキセントリック私も大好きです!!握手会ありがとうございましたー!今日はスペイベ人の顔描くのはすごく苦手です〜またねーみゆ
"
2017/04/08 00:49,1st Anniversary,"
こんばんは〜私は部屋に物がいっぱいあってちょっと狭いくらいが落ち着くことにだいぶ前気づいたのですが、いらないと思ったものはすぐポイポイ捨ててしまうので一向に狭められなくて悩んだ結果ハンガーラックを買いました(°▽°)すっごくいい感じ一気に部屋がオシャレになっていい気分です♫マシュマロ柄の壁紙に一目惚れしましたが飽きやすいのでやめました。もっとハッピーな部屋にしたいです+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+徳山制服〜〜だーにー昨日は 欅坂46 1st Anniversary LIVEでした!!!!来てくださった方々ありがとうございました☆彡今回のライブではシングル順にパフォーマンスをさせていただきました4thシングルのパフォーマンスはこのライブが初披露でした!!エキセントリックいかがでしたか?かなりエキセントリックだったと思います!衣装も制服ではなく黒白コーデで珍しい感じでしたエキセントリックはダンスも普通ではなく、靴や髪の毛を振り回したり なめらかな動きだったり普段の振りとは全く違って独特です!今日見られなかった方も握手会でのライブなど お楽しみに〜そして「不協和音」もう皆さんご存知かもしれませんが、今までの欅坂の曲の中で一番ダンスが激しくて難しいです。フォーメーションも複雑で合わせるのもとても大変で、でも来てくださる方々の度肝を抜きたいと思いました。本場パフォーマンス中のことはあまり覚えていないけど、いい結果が残せていたらと思います。昨日のライブが終わり、改めてもっともっと成長したいなって思いました。去年のワンマンライブの時よりも更に課題がたくさん見つかりました。みんなで一つ一つ乗り越えていきながら新たな課題をたくさん見つけてそれをまた乗り越えていきたいです!皆さん目を離さないでくださいね。ばいばいみゆ
"
2017/04/05 13:09,ワクワク,"





こんにちは!!





わーーーーーーーーーー!




今日4thシングル「不協和音」がリリースされましたー!!!



皆さんもう手に入れましたか??













そしてそしてついに明日1周年記念ライブです!♫♫



ワクワク〜〜






皆さんもワクワクしてますかー??




₍₍ (ง ˙ω˙)ว ⁾⁾₍₍ (ง ˙ω˙)ว ⁾⁾₍₍ (ง ˙ω˙)ว ⁾⁾














また明日〜









欅Tシャツー






みゆ

  "
2017/04/04 07:13,デビュー1周年記念ライブ,"

 

 


 
 
こんにちは〜
 
 
 
 
最近冷たく冷えてる飲み物を飲むとお腹を壊します
 
 
 
お母さんに白湯を勧められ飲み始めてたからあまり冷たいのを飲まなくなって、それから冷えてる飲み物飲むとお腹の調子が悪くなるようになりました
 
 
 
中学でテニスやってたときは氷が入ったお茶を大量に飲んでたのに、、
 
 
今思うと胃がかわいそう
 
 
日々体の衰えを感じます。
 
 
 
 
中学時代の体力に戻りたいな〜〜
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
デビュー1周年記念ライブまで あと3日!!!
 
 
 
 
絶賛準備中です!!
 
 
ファンの皆さんにパフォーマンスをお見せするのが待ち遠しいです♫♫
 
 
照明や演出にも注目してみてください!
 
 
 
 
お楽しみに〜〜
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
バースデーライブじゃないよ
 
「デビュー1周年記念ライブ」です!!
 
 
 
 
 
またね〜〜
 
 
 
みゆ
 
 
 



"
2017/04/01 16:52,くるま,"




こんにちは〜



この前 家出る前に30分時間があったから寝て、
15分前に起きて準備したらまだ時間があったから7.8分寝てから家でたら、すごいボーッとしたまま電車乗ってしまい 10駅くらい乗り過ごしました。


最近睡魔がひどいな〜


ねむいな〜





車とか乗り物に乗るのが大好きで、小さい頃寝れない時にお父さんにドライブに連れて行ってもらった記憶があります

車に揺られながら寝るのがとっても好きです


今は車に乗る機会がほとんど無いのでたまには車に乗りたいな〜って思います



自分で運転もしてみたい。
















あっという間にもう4月だ〜!


早いなー


桜が少しずつ咲き始めてるのをよく見ます^ ^




お花見行きたいーーーー



ステラルーかわいいなー



サイリウム白と水色がいいなー












またね〜








みゆ

  "
2017/03/30 16:03,おぜかわ,"






こんにちは。




最近はおぜちゃん(尾関)も好き



なんとも愛おしいかわいさ












ん～おぜき～


レッスンの時におぜちゃんが耳上でツインテールをしていて髪の毛がぴょんぴょんしてる振り動画が可愛すぎました。



おぜかわ〜〜〜〜〜〜♡


















昨日はZIP!春フェス2017に出演させていただきましたー!


4曲パフォーマンスさせていただいて、世界には愛しかない の最後にZIPポーズをしたのですが 来てくださった方気づきましたかー??




ZIP!春フェスには去年も出させていただいていて、2年連続で出演出来てとても嬉しかったです!


1年前に比べて成長した姿をお見せできたのでは、と思います





そしてSPYAIRさんの「サムライハート」の時にはチームしゃちほこさんと参加させていただきました!!


とっても盛り上がり、楽しかったです♫♫





皆さん楽しかったですかーーー!?












またね










みゆ

  "
2017/03/28 17:10,ラグーナ,"







こんにちは〜










ぺーちゃん(渡辺りか)










おとといLAGUNA MUSIC FNS.2017に出演させていただきましたーーー!



地元の愛知県のフェスに出演出来てとても嬉しかったです♫♫


パフォーマンス前にはメンバーとジェットコースターに乗らせていただきラグーナをすごく満喫できました!!




そしてそして!欅坂46 360°3Dシアターも見させていただきました!


本当に迫力がすごくて手が届きそうな感じとかメンバーが360°いるところとかすごくドキドキします♡


皆さんもぜひ!行ってみてね!






トークショーでは長濱ねると守屋あかねんとぺーちゃんと出させていただきました!


今年初の野外フェスとてもテンション上がりました!



あー楽しかったーーーーーーーー



夏が楽しみ!















そして、明日は ZIP!春フェス2017 に出演させていただきます!!!


お楽しみに!








ばいばい



みゆ

  "
2017/03/26 14:28,ムフ,"





こんにちはー


今日はLAGUNA MUSIC FES.2017に出演させていただきます!!


楽しみわーいわーい( ^^)人(^^ )








そしてそして、



もうすぐ1周年ライブだ〜



あと2週間もない、、、




ライブが楽しみで仕方ないです。




あー楽しみ






あー楽しみーーー






あーー楽しみーーーーー









皆さんも楽しみにしててくださいーー!!






じゃあね〜



















みゆ

  "
2017/03/24 16:29,愛,"







こんばんはー







最近メンバーへの愛が溢れています




みんなといるのが楽しすぎて



話しも面白いし笑顔になるネ





今もし休みの日があったらって考えると少し寂しいなって思います。















さっき織田ななに


「私たち付き合ってるもんね?」


って聞いたら舌うちされた、、、ん?














わっしょーーーーーーーーい








またねー








みゆ

  "
2017/03/24 16:23,Music Video,"







こんにちは!!








昨日ついに!4thシングル『不協和音』のMusic Videoが解禁されましたーーー!!!!!






このMusic Videoとても大好きです。


何回も繰り返し見ちゃいます





皆さんはどうですか?


気に入っていただけていたら嬉しいです(*'-'*)




とても歌詞がストレートで力強く 私達らしさが出ているのではないかなと思います。



かっこいい雰囲気、激しいダンス


今回もTAKAHIRO先生に振り付けしていただきました。




前作の二人セゾンとは全く雰囲気が違い、二人セゾンをきっかけに欅坂のファンになって下さった方々はどう思うのか個人的に気になります。



皆さん 握手会で感想聞かせてください^ ^













ばいばい




みゆ

  "
2017/03/21 23:21,不協和音,"





こんばんは〜







この前外でテニスをしてる人を何人か見かけてすっっごくテニスしたくなりました



中学時代 強く無かったけどテニスをするのはすごく好きでした!


今部屋にラケットがあるので機会があったらまたしたいな〜って思います!



欅メンバーは何人かテニス経験者がいるのでまた対決とかダブルスとかしたいです♫♫






















4thシングル『不協和音』がついに解禁されましたーー!!!!



皆さんの率直な感想を聞きたいです



私は普段あまり欅坂の歌を聴かないのですが日常でも聞くくらい好きな曲です



イントロの不協和音がとても好きです


歌詞も力強くて好きです


ダンスも好きです


衣装も好きです



好きだらけです




ダンスはまたのお楽しみに。





ばいび






みゆ

  "
2017/03/20 00:37,大好きな人,"






こんにちは〜




前に地図を見ながら目的地を目指してたのですが、一向に着けず ずっとさまよってました



地図はしっかり読める自身があったのにーーー


ちょっと悔しかったお話しでした。

































私にもたれかかってるのは


ダーーーーーーレダ!!!








ばいばーい




みゆ

  "
2017/03/17 20:43,変人人,"
     こんにちは。     今日朝起きたら毛布が真逆になっていて、自分の寝相が心配になりました。   いつも布団が落ちちゃって寒くて起きます。   そんなに寝てるとき暴れてるのかな、、   こわいこわい。                  そうそう、  前に11分しか録画出来てなかったドラマなんですが、今週の回を見て何となくですが理解できました   やっぱり1回1回見ないとなんだかモヤモヤします、、   8話を見れなかったことにより今モヤモヤしています、、   くそ〜〜〜    実家にいつか帰ったら見ようと思います。             そういえば!! この間原田あおいが変人人ケーキをくれました♡   すっごく美味しかったです!!     写真は撮りわすれました〜    あおいありがとーう(*´ｪ`)ﾉ                   またね〜               今日はこち星にて4thシングル『不協和音』初解禁です!!   お楽しみに♡♡     みゆ        
"
2017/03/15 13:15,ドラマ,"
 

 
こんにちは～さっき毎週録画しておいたドラマがなぜか11分しか撮れてなくて、絶望的な気持ちになりました(o_o)
 
 
残量あったのになんでーーー
 
 
 
 
 
録画しておいたドラマを見るのは日々の楽しみになってます
 
 
どうなったのかな〜ってワクワクしながら見るのがすごく楽しいです(* 'ω')ﾉ


 
 
 
 
 
 
 
 
 
 
 
 
 
4thシングルのタイトルと収録内容が発表されましたーー!!!
 
 
 
表題曲は『不協和音』
 
 
 
 
早くファンの方々に聴いていただきたいです!!!
 
 
公開までお楽しみに!!!
 
 
 
 
そして、去年のワンマンライブで披露させて頂いた「W-KEYAKIZAKAの詩」も収録されています♫
 
 
 
 
 
 
 
4月5日に発売です^ ^
 
 
私もリリースが楽しみです☆彡
 
 
 
 
 
 
 
 
 
 
 
 
またね〜
 

 
 
 
みゆ
 
 
 
 




"
2017/03/13 12:11,٩(_'ω'_)و,"













最近だにちゃん(織田なな)

あんまり冷たくないな〜〜















だにだにだーーだにだに





















miyu

  "
2017/03/11 17:28,6年,"
こんばんは。今日で東日本大震災から6年が経ちました。この震災でたくさんの方々が傷ついたと思います。欅坂46として私たちが少しでも元気を与えられる存在になりたいです。+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-外に出ると鼻がムズムズ。春が近づいてるな〜って思いますそんなにひどくはないけど花粉症なのでつらい時期です、、しかもかなりの睡魔も襲ってきます。ずっと冬でよかったのにな〜〜ってしみじみ思う。この間久しぶりに服を買いに行きました〜その日は E hyphen world gallery BonBon さんの気分だったので行って、その後映画を見ようと思ったら見たかった映画が終わってました。。ショックでもなかなか充実出来たからok最近1日1日がすごく充実してる気がするなんだか楽しいです( ￣_￣)ノ皆さんは何をしてる時が楽しいですかー?私はメンバーといるときかな〜明日はけやかけです見てね!ばいばいみゆ
"
2017/03/09 20:06,一人映画,"






こんにちばーむ







さっき携帯の写真を見返してました。

って言ってもたったの234枚しかないのですが、、


海に行った時の写真とかバムの写真とかたくさんあって、夏が苦手だけど少し夏気分を味わいたくなりました( ・_・)/




畳でバムとゴロゴロしたいな〜



BBQもしたーい


テニスしたーい


体育館でお弁当も食べたーい


球技大会またやりたいなー




とりあえず学生時代に戻りたい( ￣_￣)




















早速ラ・ラ・ランド見に言ってきました〜〜











そう1人で、笑


映画をみるの久々ですごく楽しかったー!



初めて1人で映画みたのですがなかなか良い

とても集中してみれました^ ^



今回でどんどん見たい映画が増えました!ハマりそう!!


わーーーーーーい





またね〜






みゆ

  "
2017/03/07 12:23,4/6,"
こんにちは。先日デビュー1周年記念ライブが私たちのデビュー日 4月6日に行われることが発表されました!!!場所は国立代々木競技場第一体育館です!ここは私たちがデビューする前に初めてパフォーマンスでステージに立った思い出の場所です。そこで私たちだけのライブが出来ることがとても嬉しいです!!サイレントマジョリティーの頃から成長した姿をたくさんの方々に見ていただきたいです。32人全員で全力でやります!!期待していてください!!待ってます(人･_･)♫そしてそして、今日はGUM ROCK FESです!!お楽しみに〜〜みゆ
"
2017/03/05 13:50,ラスト,"






こんにちはー。





この前電車の乗り換えの時にホームにハトがいて、ハト苦手だから近づいてこないように戦ってたら電車を乗り過ごしました。

せっかく快速だったのに、、


(　ﾟ_ゝﾟ)
















昨日は3rd最後の握手会ありがとうございました☆彡



もう終わりかーって。すごく早かった気がします( ´・ω・)ﾉ




私は2ndの握手会の時にいろんな会場で欠席してしまい、それがとても心残りでした。


なので3rdの握手会では自分の中で 必ず最後までやりきる。という目標を決めました。


でも3rd始めの名古屋の全国握手会で途中で体調不良になってしまいすごく悔しかったです。

皆さんにたくさん迷惑をおかけしてすみません。





3rdの握手会では自分なりに色々工夫してみました


まだ何が正解なのか分からないけど、これからも試行錯誤しながらやっていこうと思います!!








写真のせまーす













三つ編み〜
















4.5部は部屋着ー










握手会楽しかったです


ありがとうございました╰(*´︶`*)╯





次は4thシングルの握手会!

4月8日です!お楽しみに〜〜〜









いつもありがとうございます^ ^




みゆ

  "
2017/03/03 15:07,ラララ〜,"





こんばんは。





ああー映画見に行きたいな〜


ラ・ラ・ランド見たいーー












最近飽き性をすっごく発揮してます(　゜_ゝ゜)ノ



服の系統とか食べ物とかアプリとか、、


1回めちゃめちゃハマってその数日後にあー飽きたわ〜って思います。


でも毎回新しい発見が出来るからいい事なのかも!


わーーーい





そんな私が今ハマってるのは干し芋デス



干し芋だけはなかなか飽きない


個人的に茨城県産の干し芋が一番好き


丸干し芋っていう切ってない丸ごとの干し芋が衝撃の美味しさでした



また食べたいな〜〜















またねー







今日はこち星☆  聞いてね〜




みゆ

  "
2017/03/01 13:38,4th,"




こんにちは。





先日私たちの冠番組「欅って、書けない?」で4thシングルの選抜発表がありました。



フォーメーションは3rdの時と同じ7人3列です。


今回も漢字欅21人全員選抜していただきとっても嬉しいです。


とにかく21人であってほしいとずっと願っていました。

本当に誰が欠けてもだめだなって最近すごく思います。


またみんなでパフォーマンスするのが楽しみです。






私は今回2列目の8番というポジションに選んで頂きました。


前作の「二人セゾン」ではフロントを務めさせて頂き、4thで下がったと思う方もいると思います。


ファンの方に申し訳ないという気持ちもあります。


でも私は前向きに考えています。


今1人1人にそれぞれ色んなチャンスを与えていただいてて、私は今回のポジションでしか見つけられない物を見つけるチャンスだと思っています。


1st、2nd、3rdでの活動が自分にとってプラスになったように、今回も自信を持ってやっていこうと思います。


また新たな欅坂の色を出せるように、これから全員で支え合って頑張ります!!!




ファンの皆さんいつも応援ありがとうございます





みゆ

  "
2017/02/27 14:03,やっほー,"





こんばんは〜。





握手会ありがとうございました٩(●˙▿˙●)۶





写真をバババっと載せまーす
























くーまー










そして昨日の










ツノ


潮さりなちゃんがやってるのを見てこっそりマネしました(*ﾟ∀ﾟ*)












佐藤しーちゃんぴーす。






















ララララ〜〜









いろんな方にブログをもっと更新してと何度も言われ、私は学びました


2日に1回₊*୧⃛(๑⃙⃘⁼̴̀꒳⁼̴́๑⃙⃘)୨⃛*₊



とりあえずやってみます


アタタカクミマモッテネ













お花ありがとう♡♡










ばいばーーーい



みゆ

  "
2017/02/12 17:09,(_◠‿◠_),"
こんばんはやっほーもうすぐバレンタインデーだ〜私は毎日目覚ましをかけて寝るのですが、最近目覚ましの時間の10分前に起きる現象がおきています。パッ!って目が覚めて時間を見ると鳴る10分前、、なぞだなーーー寝坊は滅多にしないけど、この現象は初めてです( ´・ω・)ﾉ………………………………………………………byebye〜笑笑みゆ
"
2017/02/11 23:49,( ´ー`)ﾉ,"




こんにちは〜。













尾関と葵

まだ髪の毛黒いなー













ブログ更新遅くなってすみません






最近寒かったり、涼しかったりで何を着ようか難しいな〜って思います。


花粉もあたたかくなるのもあまり好きじゃないのでずっと冬が続けばいいのになーって。。


夏はキライです。


あー夏にはならないでーー










◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇




昨日、3月29日の『ZIP!春フェス2017』に出演させていただくことが発表されました!!


嬉しい!!楽しみです^ ^


去年も出演させていただいたのですが、
去年はデビューして間も無かったせいかガチガチに緊張してサイレントマジョリティーをパフォーマンスしたのを覚えています。


まだまだ先ですが、3月29日はデビューしてもうすぐ1年になる時期なので成長した姿をお見せしたいと思います٩(●˙▿˙●)۶


ぜひお越し下さい♫

















バム〜〜










またねー











みゆ

  "
